"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-315M2/DIA/BPM-02/fa"
# t, [x, y]
2023-09-24_04:54:00.046552397, [10468, -82123]
2023-09-24_04:54:00.046651025, [10435, -81948]
2023-09-24_04:54:00.046749653, [10586, -81898]
2023-09-24_04:54:00.046848281, [10530, -82076]
2023-09-24_04:54:00.046946909, [10410, -82211]
2023-09-24_04:54:00.047045537, [10504, -82114]
2023-09-24_04:54:00.047144164, [10664, -82152]
2023-09-24_04:54:00.047242792, [10724, -82259]
2023-09-24_04:54:00.047341420, [10599, -82297]
2023-09-24_04:54:00.047440048, [10652, -82289]
2023-09-24_04:54:00.047538676, [10753, -82273]
2023-09-24_04:54:00.047637304, [10827, -82308]
2023-09-24_04:54:00.047735932, [10877, -82243]
2023-09-24_04:54:00.047834560, [10931, -82189]
2023-09-24_04:54:00.047933188, [10973, -82176]
2023-09-24_04:54:00.048031816, [10865, -82237]
2023-09-24_04:54:00.048130444, [11029, -82251]
2023-09-24_04:54:00.048229072, [11298, -82321]
2023-09-24_04:54:00.048327700, [11395, -82480]
2023-09-24_04:54:00.048426328, [11446, -82554]
2023-09-24_04:54:00.048524956, [11433, -82483]
2023-09-24_04:54:00.048623584, [11404, -82369]
2023-09-24_04:54:00.048722212, [11486, -82345]
2023-09-24_04:54:00.048820840, [11661, -82417]
2023-09-24_04:54:00.048919468, [11825, -82418]
2023-09-24_04:54:00.049018096, [11880, -82324]
2023-09-24_04:54:00.049116724, [11893, -82250]
2023-09-24_04:54:00.049215352, [12032, -82314]
2023-09-24_04:54:00.049313980, [12106, -82368]
2023-09-24_04:54:00.049412608, [12176, -82393]
2023-09-24_04:54:00.049511236, [12208, -82386]
2023-09-24_04:54:00.049609863, [12066, -82338]
2023-09-24_04:54:00.049708491, [12048, -82394]
2023-09-24_04:54:00.049807119, [12207, -82336]
2023-09-24_04:54:00.049905747, [12270, -82255]
2023-09-24_04:54:00.050004375, [12212, -82332]
2023-09-24_04:54:00.050103003, [12198, -82338]
2023-09-24_04:54:00.050201631, [12330, -82347]
2023-09-24_04:54:00.050300259, [12378, -82385]
2023-09-24_04:54:00.050398887, [12402, -82380]
2023-09-24_04:54:00.050497515, [12344, -82404]
2023-09-24_04:54:00.050596143, [12117, -82431]
2023-09-24_04:54:00.050694771, [12021, -82492]
2023-09-24_04:54:00.050793399, [12080, -82517]
2023-09-24_04:54:00.050892027, [12099, -82493]
2023-09-24_04:54:00.050990655, [11979, -82536]
2023-09-24_04:54:00.051089283, [12003, -82455]
2023-09-24_04:54:00.051187911, [12187, -82338]
2023-09-24_04:54:00.051286539, [12337, -82391]
2023-09-24_04:54:00.051385167, [12412, -82367]
2023-09-24_04:54:00.051483795, [12454, -82346]
2023-09-24_04:54:00.051582423, [12363, -82313]
2023-09-24_04:54:00.051681051, [12172, -82323]
2023-09-24_04:54:00.051779679, [12128, -82456]
