"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-306U1/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.042903162, [55, -3608]
2023-09-24_04:54:00.043001790, [806, -3618]
2023-09-24_04:54:00.043100418, [1658, -3634]
2023-09-24_04:54:00.043199046, [1618, -3628]
2023-09-24_04:54:00.043297674, [873, -3603]
2023-09-24_04:54:00.043396302, [107, -3489]
2023-09-24_04:54:00.043494930, [66, -3467]
2023-09-24_04:54:00.043593558, [505, -3579]
2023-09-24_04:54:00.043692186, [394, -3540]
2023-09-24_04:54:00.043790814, [213, -3499]
2023-09-24_04:54:00.043889442, [319, -3546]
2023-09-24_04:54:00.043988070, [362, -3609]
2023-09-24_04:54:00.044086698, [541, -3658]
2023-09-24_04:54:00.044185326, [1093, -3755]
2023-09-24_04:54:00.044283954, [1595, -3692]
2023-09-24_04:54:00.044382582, [1582, -3665]
2023-09-24_04:54:00.044481210, [1177, -3736]
2023-09-24_04:54:00.044579838, [624, -3685]
2023-09-24_04:54:00.044678465, [283, -3643]
2023-09-24_04:54:00.044777093, [-101, -3669]
2023-09-24_04:54:00.044875721, [-153, -3611]
2023-09-24_04:54:00.044974349, [393, -3482]
2023-09-24_04:54:00.045072977, [1020, -3435]
2023-09-24_04:54:00.045171605, [1366, -3544]
2023-09-24_04:54:00.045270233, [1297, -3795]
2023-09-24_04:54:00.045368861, [1030, -3960]
2023-09-24_04:54:00.045467489, [1130, -3861]
2023-09-24_04:54:00.045566117, [1563, -3754]
2023-09-24_04:54:00.045664745, [1523, -3744]
2023-09-24_04:54:00.045763373, [873, -3708]
2023-09-24_04:54:00.045862001, [91, -3770]
2023-09-24_04:54:00.045960629, [51, -3718]
2023-09-24_04:54:00.046059257, [648, -3639]
2023-09-24_04:54:00.046157885, [1267, -3680]
2023-09-24_04:54:00.046256513, [1581, -3731]
2023-09-24_04:54:00.046355141, [1342, -3816]
2023-09-24_04:54:00.046453769, [775, -3864]
2023-09-24_04:54:00.046552397, [330, -3825]
2023-09-24_04:54:00.046651025, [408, -3841]
2023-09-24_04:54:00.046749653, [833, -3831]
2023-09-24_04:54:00.046848281, [945, -3783]
2023-09-24_04:54:00.046946909, [591, -3721]
2023-09-24_04:54:00.047045537, [334, -3708]
2023-09-24_04:54:00.047144164, [363, -3738]
2023-09-24_04:54:00.047242792, [471, -3746]
2023-09-24_04:54:00.047341420, [588, -3714]
2023-09-24_04:54:00.047440048, [676, -3563]
2023-09-24_04:54:00.047538676, [769, -3433]
2023-09-24_04:54:00.047637304, [875, -3485]
2023-09-24_04:54:00.047735932, [821, -3594]
2023-09-24_04:54:00.047834560, [379, -3634]
2023-09-24_04:54:00.047933188, [-146, -3583]
2023-09-24_04:54:00.048031816, [-561, -3536]
2023-09-24_04:54:00.048130444, [-334, -3601]
2023-09-24_04:54:00.048229072, [362, -3613]
2023-09-24_04:54:00.048327700, [546, -3621]
2023-09-24_04:54:00.048426328, [666, -3667]
2023-09-24_04:54:00.048524956, [848, -3611]
2023-09-24_04:54:00.048623584, [746, -3547]
2023-09-24_04:54:00.048722212, [348, -3517]
2023-09-24_04:54:00.048820840, [-329, -3464]
2023-09-24_04:54:00.048919468, [-1065, -3451]
2023-09-24_04:54:00.049018096, [-869, -3536]
2023-09-24_04:54:00.049116724, [-105, -3632]
2023-09-24_04:54:00.049215352, [89, -3629]
2023-09-24_04:54:00.049313980, [-149, -3535]
2023-09-24_04:54:00.049412608, [-59, -3450]
2023-09-24_04:54:00.049511236, [320, -3441]
2023-09-24_04:54:00.049609863, [492, -3439]
2023-09-24_04:54:00.049708491, [270, -3374]
