"# DATASET= tango://g-v-csdb-0.maxiv.lu.se:10000/R3-319U2/DIA/BPM-01/fa"
# t, [x, y]
2023-09-24_04:54:00.033434878, [3379, -201]
2023-09-24_04:54:00.033533506, [3278, -225]
2023-09-24_04:54:00.033632134, [2833, -121]
2023-09-24_04:54:00.033730762, [2788, -41]
2023-09-24_04:54:00.033829390, [3030, -87]
2023-09-24_04:54:00.033928018, [3508, -100]
2023-09-24_04:54:00.034026646, [3947, -87]
2023-09-24_04:54:00.034125274, [3556, -99]
2023-09-24_04:54:00.034223902, [3098, -39]
2023-09-24_04:54:00.034322530, [2905, -127]
2023-09-24_04:54:00.034421158, [3034, -230]
2023-09-24_04:54:00.034519786, [3059, -252]
2023-09-24_04:54:00.034618414, [2873, -223]
2023-09-24_04:54:00.034717041, [3179, -242]
2023-09-24_04:54:00.034815669, [3423, -328]
2023-09-24_04:54:00.034914297, [3090, -227]
2023-09-24_04:54:00.035012925, [2665, -183]
2023-09-24_04:54:00.035111553, [2532, -211]
2023-09-24_04:54:00.035210181, [2460, -149]
2023-09-24_04:54:00.035308809, [2562, -74]
2023-09-24_04:54:00.035407437, [2742, -85]
2023-09-24_04:54:00.035506065, [2941, -201]
2023-09-24_04:54:00.035604693, [3013, -135]
2023-09-24_04:54:00.035703321, [2759, -75]
2023-09-24_04:54:00.035801949, [2152, -208]
2023-09-24_04:54:00.035900577, [1769, -311]
2023-09-24_04:54:00.035999205, [1514, -360]
2023-09-24_04:54:00.036097833, [1338, -330]
2023-09-24_04:54:00.036196461, [1623, -258]
2023-09-24_04:54:00.036295089, [1740, -130]
2023-09-24_04:54:00.036393717, [1617, -58]
2023-09-24_04:54:00.036492345, [1909, -82]
2023-09-24_04:54:00.036590973, [2227, -120]
2023-09-24_04:54:00.036689601, [1863, -128]
2023-09-24_04:54:00.036788229, [1154, -155]
2023-09-24_04:54:00.036886857, [457, -146]
2023-09-24_04:54:00.036985485, [-121, -94]
2023-09-24_04:54:00.037084113, [-441, -83]
2023-09-24_04:54:00.037182740, [-674, -75]
2023-09-24_04:54:00.037281368, [-639, -91]
2023-09-24_04:54:00.037379996, [-617, -126]
2023-09-24_04:54:00.037478624, [-806, -56]
2023-09-24_04:54:00.037577252, [-633, -47]
2023-09-24_04:54:00.037675880, [-444, -82]
2023-09-24_04:54:00.037774508, [-493, -75]
2023-09-24_04:54:00.037873136, [-1116, 23]
2023-09-24_04:54:00.037971764, [-1833, 18]
2023-09-24_04:54:00.038070392, [-1941, -46]
2023-09-24_04:54:00.038169020, [-2135, 54]
2023-09-24_04:54:00.038267648, [-2487, 219]
2023-09-24_04:54:00.038366276, [-2468, 192]
2023-09-24_04:54:00.038464904, [-2408, 123]
2023-09-24_04:54:00.038563532, [-2230, 82]
2023-09-24_04:54:00.038662160, [-2321, 86]
2023-09-24_04:54:00.038760788, [-2547, 279]
2023-09-24_04:54:00.038859416, [-2803, 310]
2023-09-24_04:54:00.038958044, [-3209, 236]
2023-09-24_04:54:00.039056672, [-3121, 286]
2023-09-24_04:54:00.039155300, [-2684, 276]
2023-09-24_04:54:00.039253928, [-2761, 260]
2023-09-24_04:54:00.039352556, [-3315, 196]
2023-09-24_04:54:00.039451184, [-3250, 153]
2023-09-24_04:54:00.039549812, [-2720, 252]
2023-09-24_04:54:00.039648440, [-2515, 252]
2023-09-24_04:54:00.039747067, [-2521, 114]
2023-09-24_04:54:00.039845695, [-2371, 81]
2023-09-24_04:54:00.039944323, [-1889, 128]
2023-09-24_04:54:00.040042951, [-1521, 217]
2023-09-24_04:54:00.040141579, [-1713, 196]
2023-09-24_04:54:00.040240207, [-1963, 55]
2023-09-24_04:54:00.040338835, [-1880, 183]
2023-09-24_04:54:00.040437463, [-1623, 315]
2023-09-24_04:54:00.040536091, [-1429, 213]
2023-09-24_04:54:00.040634719, [-1244, 176]
2023-09-24_04:54:00.040733347, [-1044, 289]
2023-09-24_04:54:00.040831975, [-739, 441]
2023-09-24_04:54:00.040930603, [-285, 397]
2023-09-24_04:54:00.041029231, [-15, 179]
2023-09-24_04:54:00.041127859, [114, 196]
2023-09-24_04:54:00.041226487, [71, 383]
2023-09-24_04:54:00.041325115, [-174, 492]
2023-09-24_04:54:00.041423743, [-256, 352]
2023-09-24_04:54:00.041522371, [-134, 158]
2023-09-24_04:54:00.041620999, [338, 103]
2023-09-24_04:54:00.041719627, [728, 125]
2023-09-24_04:54:00.041818255, [833, 213]
2023-09-24_04:54:00.041916883, [1029, 190]
2023-09-24_04:54:00.042015511, [1063, 45]
2023-09-24_04:54:00.042114139, [909, -43]
2023-09-24_04:54:00.042212766, [989, -54]
2023-09-24_04:54:00.042311394, [1164, -102]
2023-09-24_04:54:00.042410022, [1175, -119]
2023-09-24_04:54:00.042508650, [1081, -67]
2023-09-24_04:54:00.042607278, [681, -42]
2023-09-24_04:54:00.042705906, [475, 9]
2023-09-24_04:54:00.042804534, [635, 120]
2023-09-24_04:54:00.042903162, [781, 240]
2023-09-24_04:54:00.043001790, [1462, 283]
2023-09-24_04:54:00.043100418, [2225, 127]
2023-09-24_04:54:00.043199046, [2221, 36]
2023-09-24_04:54:00.043297674, [1634, 35]
2023-09-24_04:54:00.043396302, [1034, -49]
